"logFC","pvalues","symbol"
-2.66296501272243,0.030598918333523,""
-3.16992500144231,0.0248084245478095,""
-3.16992500144231,0.0253698598220537,"LINC02500"
-2.85244281158614,0.00993701022923311,""
-3.21501289097085,0.0126063567270478,"KRT32"
-2.70895121799661,0.0188656743841637,""
-3.27301849440642,0.0181189115856639,"KRT14"
-2.98606080904213,0.0333386832715863,"GSTA1"
-2.34314458079706,0.0361451420465623,"DPT"
-2.48766529936624,0.0114120363860017,""
-3.39993060688864,0.0106622747145147,""
-2.57447012690351,0.0192435657990748,"CRYBA1"
-2.4447848426729,0.0338948535246893,"PCAT7"
-2.35648531692373,0.0273284719876049,""
-2.69632360966886,0.0116673123433194,""
-3.06495544184077,0.0200081852916062,"TPSD1"
-2.96025382120724,0.0355788332395941,""
-2.39064084497138,0.020784343168787,"LINC01508"
-2.2591923395394,0.0317460317460317,"LPAR3"
-3.88929653559378,0.0441713449084426,"VTRNA1-2"
-2.99330534742599,0.0273284719876049,""
-3.14909149802515,0.0211766578543166,"FATE1"
-2.63941028474353,0.0317460317460317,"MRGPRE"
-3.88845334735184,0.0116673123433194,"CRYGD"
-2.61980424993346,0.0211766578543166,""
-4.73001283352444,0.0192435657990748,"LINC01583"
-3.0025377228019,0.0158730158730159,"TPSAB1"
-3.6020360140801,0.0458661615694245,"LINC00887"
-2.87220606640757,0.0119252335930176,"TPSB2"
-4.38633112771303,0.015650539882205,"NPS"
-2.75084066910077,0.00793650793650794,"CD8B"
-4.22819804301765,0.0361451420465623,"C6"
-2.98636199798704,0.0278029624346493,"ZNF541"
-3.27930201932583,0.0458661615694245,"EPO"
-3.91472071003094,0.0116673123433194,"ABCC12"
-2.71850868945865,0.00793650793650794,"C1orf87"
-2.70756095559742,0.0317460317460317,"LINC00507"
-2.57818699998434,0.0158730158730159,"TMPRSS3"
-2.69759135583206,0.0119252335930176,"CCL28"
-2.68517296148778,0.0158730158730159,""
-3.00174978194996,0.0158730158730159,"GPR26"
-2.60242927148755,0.0317460317460317,"BHMT2"
-4.32137734281315,0.0158730158730159,"FAM180A"
-6.33364151545115,0.0196244149766397,"IGLV3-10"
-5.2324328008673,0.0361451420465623,"PPP1R17"
-4.65122846821177,0.0278029624346493,"OTOS"
-2.13062058140642,0.0158730158730159,"IFI27"
