"","logFC","pvalues"
"ENSG00000230051",-2.66296501272243,0.030598918333523
"ENSG00000287492",-3.16992500144231,0.0248084245478095
"ENSG00000249460",-3.16992500144231,0.0253698598220537
"ENSG00000285336",-2.85244281158614,0.00993701022923311
"ENSG00000108759",-3.21501289097085,0.0126063567270478
"ENSG00000286481",-2.70895121799661,0.0188656743841637
"ENSG00000186847",-3.27301849440642,0.0181189115856639
"ENSG00000243955",-2.98606080904213,0.0333386832715863
"ENSG00000143196",-2.34314458079706,0.0361451420465623
"ENSG00000227017",-2.48766529936624,0.0114120363860017
"ENSG00000236212",-3.39993060688864,0.0106622747145147
"ENSG00000108255",-2.57447012690351,0.0192435657990748
"ENSG00000231806",-2.4447848426729,0.0338948535246893
"ENSG00000273367",-2.35648531692373,0.0273284719876049
"ENSG00000251623",-2.69632360966886,0.0116673123433194
"ENSG00000095917",-3.06495544184077,0.0200081852916062
"ENSG00000266088",-2.96025382120724,0.0355788332395941
"ENSG00000231107",-2.39064084497138,0.020784343168787
"ENSG00000171517",-2.2591923395394,0.0317460317460317
"ENSG00000202111",-3.88929653559378,0.0441713449084426
"ENSG00000286540",-2.99330534742599,0.0273284719876049
"ENSG00000147378",-3.14909149802515,0.0211766578543166
"ENSG00000184350",-2.63941028474353,0.0317460317460317
"ENSG00000118231",-3.88845334735184,0.0116673123433194
"ENSG00000254092",-2.61980424993346,0.0211766578543166
"ENSG00000259518",-4.73001283352444,0.0192435657990748
"ENSG00000172236",-3.0025377228019,0.0158730158730159
"ENSG00000214145",-3.6020360140801,0.0458661615694245
"ENSG00000197253",-2.87220606640757,0.0119252335930176
"ENSG00000214285",-4.38633112771303,0.015650539882205
"ENSG00000172116",-2.75084066910077,0.00793650793650794
"ENSG00000039537",-4.22819804301765,0.0361451420465623
"ENSG00000118156",-2.98636199798704,0.0278029624346493
"ENSG00000130427",-3.27930201932583,0.0458661615694245
"ENSG00000140798",-3.91472071003094,0.0116673123433194
"ENSG00000162598",-2.71850868945865,0.00793650793650794
"ENSG00000256193",-2.70756095559742,0.0317460317460317
"ENSG00000160183",-2.57818699998434,0.0158730158730159
"ENSG00000151882",-2.69759135583206,0.0119252335930176
"ENSG00000287560",-2.68517296148778,0.0158730158730159
"ENSG00000154478",-3.00174978194996,0.0158730158730159
"ENSG00000132840",-2.60242927148755,0.0317460317460317
"ENSG00000189320",-4.32137734281315,0.0158730158730159
"ENSG00000211669",-6.33364151545115,0.0196244149766397
"ENSG00000106341",-5.2324328008673,0.0361451420465623
"ENSG00000178602",-4.65122846821177,0.0278029624346493
"ENSG00000165949",-2.13062058140642,0.0158730158730159
